Story,Story_Version,SentenceIndex,Original_N,Version_N,Alignment_Method,Changed_Spans
Story8,CD,2,12,12,position,10-10
Story8,CD,3,38,38,position,37-37
Story8,CD,4,16,16,position,
Story8,CD,5,12,12,position,
Story8,CD,6,23,23,position,4-4
Story8,RD,1,13,13,position,
Story8,RD,2,12,12,position,2-2
Story8,RD,3,38,38,position,25-25
Story8,RD,4,16,16,position,10-10
Story8,RD,5,12,12,position,10-10
Story8,RD,6,23,23,position,3-3
Story9,CD,1,13,13,position,
Story9,CD,2,17,17,position,12-12
Story9,CD,3,11,11,position,
Story9,CD,4,8,8,position,
Story9,CD,5,17,17,position,3-3
Story9,CD,6,7,7,position,
Story9,CD,7,23,23,position,
Story9,CD,8,23,23,position,20-20
Story9,RD,1,13,13,position,
Story9,RD,2,17,17,position,
Story9,RD,3,11,11,position,4-4
Story9,RD,4,8,8,position,
Story9,RD,5,17,17,position,4-4
Story9,RD,6,7,7,position,4-4
Story9,RD,7,23,23,position,6-6;22-22
Story9,RD,8,23,23,position,
Story10,CD,1,22,22,position,
Story10,CD,2,11,11,position,
Story10,CD,3,36,36,position,20-20;32-32
Story10,CD,4,14,14,position,
Story10,CD,5,20,20,position,11-11
Story10,RD,1,22,22,position,
Story10,RD,2,11,11,position,3-3;10-10
Story10,RD,3,36,36,position,31-31
Story10,RD,4,14,14,position,
Story10,RD,5,20,20,position,4-4
Story11,CD,1,10,10,position,
Story11,CD,2,14,14,position,12-12
Story11,CD,3,21,21,position,
Story11,CD,4,22,22,position,19-19
Story11,CD,5,12,12,position,
Story11,CD,6,11,11,position,
Story11,CD,7,15,15,position,10-10
Story11,CD,8,9,9,position,
Story11,RD,1,10,10,position,
Story11,RD,2,14,14,position,
Story11,RD,3,21,21,position,1-1;19-19
Story11,RD,4,22,22,position,8-8
Story11,RD,5,12,12,position,1-1
Story11,RD,6,11,11,position,
Story11,RD,7,15,15,position,
Story11,RD,8,9,9,position,6-6
Story12,CD,1,11,11,position,
Story12,CD,2,24,24,position,22-22
Story12,CD,3,19,19,position,13-13
Story12,CD,4,19,19,position,
Story12,RD,1,11,11,position,
Story12,RD,2,24,24,position,10-10
Story12,RD,3,19,19,position,12-12
Story12,RD,4,19,19,position,16-16
Story13,CD,1,17,17,position,
Story13,CD,2,39,39,position,9-9;33-33
Story13,CD,3,10,10,position,
Story13,CD,4,29,29,position,7-7
Story13,CD,5,7,7,position,
Story13,RD,1,17,17,position,
Story13,RD,2,39,39,position,3-3;22-22
Story13,RD,3,10,10,position,
Story13,RD,4,29,29,position,14-14
Story13,RD,5,7,7,position,3-3
Story14,CD,1,26,26,position,
Story14,CD,2,31,31,position,10-10;28-28
Story14,CD,3,8,8,position,
Story14,CD,4,17,17,position,14-14
Story14,CD,5,20,20,position,
Story14,CD,6,14,14,position,
Story14,RD,1,26,26,position,
Story14,RD,2,31,31,position,3-3;12-12
Story14,RD,3,8,8,position,3-3
Story14,RD,4,17,17,position,17-17
Story14,RD,5,20,20,position,
Story14,RD,6,14,14,position,7-7
Story15,CD,1,18,18,position,14-14
Story15,CD,2,18,18,position,11-11
Story15,CD,3,26,26,position,
Story15,RD,1,18,18,position,
Story15,RD,2,18,18,position,6-6
Story15,RD,3,26,26,position,5-5;20-20
Story16,CD,1,18,18,position,
Story16,CD,2,20,20,position,16-16
Story16,CD,3,19,19,position,
Story16,CD,4,32,32,position,22-22
Story16,RD,1,18,18,position,
Story16,RD,2,20,20,position,4-4
Story16,RD,3,19,19,position,1-1
Story16,RD,4,32,32,position,24-24;31-31
Story17,CD,1,17,17,position,
Story17,CD,2,22,22,position,19-19
Story17,CD,3,25,25,position,19-19
Story17,CD,4,20,20,position,
Story17,RD,1,17,17,position,
Story17,RD,2,22,22,position,17-17
