DistType,Story,PerturbationID,Distance,AtBoundary,DistWordIndex,OriginalWordIndex,DistSurprisal,OriginalSurprisal,DeltaSurprisal,RepresentationDistance
CD,Story7,CD_Story7_s4_k81,3,0,84,84,1.825286626815796,1.8736140727996826,-0.04832744598388672,0.004038631916046143
CD,Story7,CD_Story7_s4_k81,4,0,85,85,0.4014875292778015,0.2934499680995941,0.1080375611782074,0.010633468627929688
CD,Story7,CD_Story7_s4_k81,5,0,86,86,4.252010345458984,4.139097690582275,0.11291265487670898,0.02369821071624756
CD,Story7,CD_Story7_s4_k81,6,0,87,87,2.020362377166748,1.5406817197799683,0.4796806573867798,0.0040506720542907715
CD,Story7,CD_Story7_s4_k81,7,0,88,88,3.7281272411346436,3.639880657196045,0.08824658393859863,0.005929529666900635
CD,Story7,CD_Story7_s4_k81,8,0,89,89,1.9962208271026611,1.6919115781784058,0.30430924892425537,0.006639420986175537
CD,Story7,CD_Story7_s4_k81,9,0,90,90,0.45241087675094604,0.3523123264312744,0.10009855031967163,0.003378450870513916
CD,Story7,CD_Story7_s4_k81,10,0,91,91,0.8142790198326111,0.7916581034660339,0.02262091636657715,0.00252687931060791
CD,Story8,CD_Story8_s2_k23,0,0,23,23,10.99364948272705,0.2436491996049881,10.750000283122063,0.10567605495452881
CD,Story8,CD_Story8_s2_k23,1,0,24,24,6.732427597045898,4.3073811531066895,2.425046443939209,0.19840097427368164
CD,Story8,CD_Story8_s2_k23,2,1,25,25,4.984234809875488,2.9917240142822266,1.9925107955932617,0.015188276767730713
CD,Story8,CD_Story8_s3_k62,0,0,62,62,16.15083122253418,3.604931354522705,12.545899868011475,0.228875994682312
CD,Story8,CD_Story8_s3_k62,1,1,63,63,3.4155142307281494,3.3744571208953857,0.04105710983276367,0.02652961015701294
CD,Story8,CD_Story8_s6_k95,0,0,95,95,26.325084686279297,8.766033172607422,17.559051513671875,0.011095106601715088
CD,Story8,CD_Story8_s6_k95,1,0,96,96,9.216438293457031,9.349764823913574,-0.13332653045654297,0.02539074420928955
CD,Story8,CD_Story8_s6_k95,2,0,97,97,0.05152885988354683,0.04469536617398262,0.006833493709564209,0.014400005340576172
CD,Story8,CD_Story8_s6_k95,3,0,98,98,6.689195156097412,7.061056613922119,-0.37186145782470703,0.01772385835647583
CD,Story8,CD_Story8_s6_k95,4,0,99,99,8.744298934936523,8.395267486572266,0.3490314483642578,0.01296311616897583
CD,Story8,CD_Story8_s6_k95,5,0,100,100,0.8274780511856079,0.5703311562538147,0.2571468949317932,0.011713624000549316
CD,Story8,CD_Story8_s6_k95,6,0,101,101,4.833939552307129,4.677262306213379,0.15667724609375,0.049314141273498535
CD,Story8,CD_Story8_s6_k95,7,0,102,102,10.465450286865234,10.687895774841309,-0.22244548797607422,0.06833130121231079
CD,Story8,CD_Story8_s6_k95,8,0,103,103,5.960746765136719,4.3997979164123535,1.5609488487243652,0.03521794080734253
CD,Story8,CD_Story8_s6_k95,9,0,104,104,11.11640739440918,11.293961524963379,-0.17755413055419922,0.010650336742401123
CD,Story8,CD_Story8_s6_k95,10,0,105,105,1.1723449230194092,0.8448323011398315,0.32751262187957764,0.02695077657699585
CD,Story9,CD_Story9_s2_k25,0,0,25,25,22.438684463500977,1.980327844619751,20.458356618881226,0.04759526252746582
CD,Story9,CD_Story9_s2_k25,1,0,26,26,2.967878580093384,2.939826011657715,0.028052568435668945,0.006281435489654541
CD,Story9,CD_Story9_s2_k25,2,0,27,27,1.2481061220169067,1.1443694829940796,0.10373663902282715,0.005735576152801514
CD,Story9,CD_Story9_s2_k25,3,0,28,28,0.33066806197166443,0.2692144215106964,0.06145364046096802,0.004731476306915283
CD,Story9,CD_Story9_s2_k25,4,0,29,29,1.801127552986145,1.6445759534835815,0.15655159950256348,0.00450289249420166
CD,Story9,CD_Story9_s2_k25,5,1,30,30,5.127224922180176,4.860602855682373,0.26662206649780273,0.007113993167877197
CD,Story9,CD_Story9_s5_k52,0,0,52,52,17.658287048339844,1.024504542350769,16.633782505989075,0.11073064804077148
CD,Story9,CD_Story9_s5_k52,1,0,53,53,9.335205078125,8.987668991088867,0.3475360870361328,0.051976025104522705
CD,Story9,CD_Story9_s5_k52,2,0,54,54,9.180744171142578,9.147067070007324,0.033677101135253906,0.06112837791442871
CD,Story9,CD_Story9_s5_k52,3,0,55,55,6.594176292419434,3.8366215229034424,2.757554769515991,0.02213221788406372
CD,Story9,CD_Story9_s5_k52,4,0,56,56,1.063697099685669,0.9472226500511169,0.116474449634552,0.03954041004180908
CD,Story9,CD_Story9_s5_k52,5,0,57,57,1.8079450130462646,1.332357406616211,0.4755876064300537,0.026207327842712402
CD,Story9,CD_Story9_s5_k52,6,0,58,58,5.810236930847168,4.563846588134766,1.2463903427124023,0.014547228813171387
CD,Story9,CD_Story9_s5_k52,7,0,59,59,8.713363647460938,8.437034606933594,0.27632904052734375,0.006209015846252441
CD,Story9,CD_Story9_s5_k52,8,0,60,60,0.5154222249984741,0.3484523892402649,0.16696983575820923,0.008660078048706055
CD,Story9,CD_Story9_s5_k52,9,0,61,61,5.066194534301758,5.099758148193359,-0.03356361389160156,0.008758246898651123
CD,Story9,CD_Story9_s5_k52,10,0,62,62,1.383620023727417,1.1980756521224976,0.18554437160491943,0.015875697135925293
CD,Story9,CD_Story9_s8_k116,0,0,116,116,14.548032760620117,7.177855491638184,7.370177268981934,0.08083993196487427
CD,Story9,CD_Story9_s8_k116,1,0,117,117,3.6951451301574707,3.322829484939575,0.3723156452178955,0.020026326179504395
CD,Story9,CD_Story9_s8_k116,2,0,118,118,6.452543258666992,5.997203826904297,0.4553394317626953,0.021069347858428955
CD,Story9,CD_Story9_s8_k116,3,1,119,119,12.327085494995117,12.711655616760254,-0.3845701217651367,0.01835489273071289
CD,Story10,CD_Story10_s3_k65,0,0,65,65,18.549530029296875,7.387381553649902,11.162148475646973,0.13278335332870483
CD,Story10,CD_Story10_s3_k65,1,0,66,66,3.8458073139190674,3.5656285285949707,0.2801787853240967,0.009464561939239502
CD,Story10,CD_Story10_s3_k65,2,0,67,67,5.236328601837158,5.945831775665283,-0.709503173828125,0.03756535053253174
CD,Story10,CD_Story10_s3_k65,3,0,68,68,4.460803031921387,2.705367088317871,1.7554359436035156,0.0267067551612854
CD,Story10,CD_Story10_s3_k65,4,1,69,69,3.177102565765381,3.1796534061431885,-0.002550840377807617,0.005374610424041748
CD,Story10,CD_Story10_s5_k94,0,0,94,94,12.468114852905273,7.379851818084717,5.088263034820557,0.15705162286758423
CD,Story10,CD_Story10_s5_k94,1,0,95,95,4.151640892028809,4.709040641784668,-0.5573997497558594,0.17351031303405762
CD,Story10,CD_Story10_s5_k94,2,0,96,96,9.88148307800293,3.7590458393096924,6.122437238693237,0.04099631309509277
CD,Story10,CD_Story10_s5_k94,3,0,97,97,7.276719570159912,7.5558180809021,-0.2790985107421875,0.031068265438079834
CD,Story10,CD_Story10_s5_k94,4,0,98,98,1.8153784275054932,1.3836791515350342,0.431699275970459,0.011647820472717285
CD,Story10,CD_Story10_s5_k94,5,0,99,99,0.433746874332428,0.28439807891845703,0.14934879541397095,0.03534764051437378
CD,Story10,CD_Story10_s5_k94,6,0,100,100,2.9874267578125,1.3248215913772583,1.6626051664352417,0.03766524791717529
CD,Story10,CD_Story10_s5_k94,7,0,101,101,6.789560794830322,6.131291389465332,0.6582694053649902,0.010603725910186768
