DistType,Story,SentenceIndex,PositionUnitID,Position,DistWordIndex,OriginalWordIndex,DistWord,OriginalWord,DistSurprisal,OriginalSurprisal,DeltaSurprisal,RepresentationDistance
CD,Story6,2,CD_Story6_s2,K-3,18,18,blew,blew,3.2802648544311523,3.2802648544311523,0.0,-1.1920928955078125e-07
CD,Story6,2,CD_Story6_s2,K-2,19,19,off,off,5.834578990936279,5.834578990936279,0.0,-1.1920928955078125e-07
CD,Story6,2,CD_Story6_s2,K-3,20,20,his,his,2.7453603744506836,2.7453603744506836,0.0,-1.1920928955078125e-07
CD,Story6,2,CD_Story6_s2,K-1,20,20,his,his,2.7453603744506836,2.7453603744506836,0.0,-1.1920928955078125e-07
CD,Story6,2,CD_Story6_s2,K-2,21,21,wig,hat,2.584460735321045,3.959460735321045,-1.375,0.06838053464889526
CD,Story6,2,CD_Story6_s2,K,21,21,wig,hat,2.584460735321045,3.959460735321045,-1.375,0.06838053464889526
CD,Story6,2,CD_Story6_s2,K-1,22,22,and,and,1.626278042793274,2.0049097537994385,-0.37863171100616455,0.017514824867248535
CD,Story6,2,CD_Story6_s2,K+1,22,22,and,and,1.626278042793274,2.0049097537994385,-0.37863171100616455,0.017514824867248535
CD,Story6,2,CD_Story6_s2,K,23,23,"hand,","wig,",13.196211814880371,12.910350799560547,0.2858610153198242,0.02306807041168213
CD,Story6,2,CD_Story6_s2,K+2,23,23,"hand,","wig,",13.196211814880371,12.910350799560547,0.2858610153198242,0.02306807041168213
CD,Story6,2,CD_Story6_s2,K+1,24,24,causing,causing,3.280402660369873,3.391258955001831,-0.11085629463195801,0.004713118076324463
CD,Story6,2,CD_Story6_s2,K+3,24,24,causing,causing,3.280402660369873,3.391258955001831,-0.11085629463195801,0.004713118076324463
CD,Story6,2,CD_Story6_s2,K+2,25,25,his,his,2.8729758262634277,2.7738289833068848,0.09914684295654297,0.03190410137176514
CD,Story6,2,CD_Story6_s2,K+3,26,26,companions,companions,6.7873358726501465,7.4160261154174805,-0.628690242767334,0.004291236400604248
CD,Story6,2,CD_Story6_s2,K_END,30,30,laughter.,laughter.,2.7975358963012695,3.048966407775879,-0.2514305114746094,0.0031322240829467773
CD,Story6,3,CD_Story6_s3,K-3,58,58,the,the,2.985245704650879,2.961880922317505,0.023364782333374023,0.0122603178024292
CD,Story6,3,CD_Story6_s3,K-2,59,59,man,man,15.10313892364502,15.44424819946289,-0.3411092758178711,0.0022385716438293457
CD,Story6,3,CD_Story6_s3,K-1,60,60,whose,whose,3.3541431427001953,3.037841320037842,0.3163018226623535,0.006557822227478027
