Outcome,DistType,Position,Contrast,N,NUnits,Estimate,SE,T,P,CILow,CIHigh,P_FDR_Within,Significant_FDR_Within
DeltaSurprisal,RD,K+2,RD - Original,75,66,0.8640148966014385,0.1885507176824208,4.582400466153163,2.1404896301578886e-05,0.4874531106633575,1.2405766825395195,4.9275313331393856e-05,True
DeltaSurprisal,RD,K+3,RD - Original,70,62,0.5937035472797496,0.13002094217255103,4.566214775553961,2.4637656665696928e-05,0.3337106047682534,0.8536964897912458,4.9275313331393856e-05,True
DeltaSurprisal,RD,K-1,RD - Original,82,71,0.10662999576548249,0.06475504129724248,1.6466670954006974,0.10410911904433924,-0.022519861772013677,0.23577985330297865,0.13881215872578564,False
DeltaSurprisal,RD,K-2,RD - Original,76,67,0.0956828188347189,0.09858556123404048,0.9705561102154653,0.33531288433977036,-0.10114960494761065,0.2925152426170484,0.33531288433977036,False
DeltaSurprisal,RD,K-3,RD - Original,68,62,0.060457855134325875,0.05457693336157593,1.107754712669333,0.2723166882095646,-0.048675468012178494,0.16959117828083026,0.3112190722395024,False
DeltaSurprisal,RD,K_END,RD - Original,73,73,1.0028501651058461,0.33656339037708616,2.979676916084816,0.003932115790718013,0.3319233085169281,1.673777021694764,0.0062913852651488205,True
RepresentationDistance,CD,K,CD vs Original,58,50,0.1589980217917212,0.018213765068963713,8.729552686646546,1.496894582897664e-11,0.12239609053424219,0.19559995304920022,1.1975156663181313e-10,True
RepresentationDistance,CD,K+1,CD vs Original,55,50,0.05481235872615467,0.007881220619847662,6.954805780733765,7.794050806294336e-09,0.03897445293015645,0.0706502645221529,2.0784135483451565e-08,True
RepresentationDistance,CD,K+2,CD vs Original,53,48,0.042764523119296675,0.00864082397145999,4.9491255996586405,9.989086419834327e-06,0.025381427463903285,0.06014761877469006,1.9978172839668654e-05,True
RepresentationDistance,CD,K+3,CD vs Original,48,43,0.03591338545084001,0.00758309936710267,4.735977166096625,2.4970024197328396e-05,0.020610071367435992,0.05121669953424403,3.9952038715725436e-05,True
RepresentationDistance,CD,K-1,CD vs Original,55,50,0.010486365448344838,0.0029633538066997024,3.538681552178051,0.000891515640348329,0.0045312830195484485,0.016441447877141226,0.000891515640348329,True
RepresentationDistance,CD,K-2,CD vs Original,55,50,0.006267976760864259,0.0017154640070257939,3.6538083779043773,0.0006286943880404551,0.0028206227721587237,0.009715330749569795,0.0007185078720462343,True
RepresentationDistance,CD,K-3,CD vs Original,54,49,0.004665461955247104,0.0012358711281409106,3.7750392002969106,0.0004404713169635991,0.0021805765090627182,0.007150347401431489,0.0005872950892847988,True
RepresentationDistance,CD,K_END,CD vs Original,50,50,0.013802738189697267,0.0018157008529529237,7.601879002947814,7.797616274460106e-10,0.010153950717568631,0.017451525661825902,3.1190465097840424e-09,True
RepresentationDistance,RD,K,RD vs Original,86,73,0.2517736460580383,0.01349970464052441,18.65030774838181,2.7834843911201704e-29,0.2248624766964567,0.2786848154196199,2.2267875128961363e-28,True
RepresentationDistance,RD,K+1,RD vs Original,82,70,0.06405198356000387,0.0076892680194278785,8.33004954413979,4.979302122389947e-12,0.04871231357911551,0.07939165354089223,1.6614331880832132e-11,True
RepresentationDistance,RD,K+2,RD vs Original,75,66,0.03932073752085367,0.0056757012634563895,6.927908234710034,2.3254220507592743e-09,0.027985579370896525,0.05065589567081081,3.720675281214839e-09,True
RepresentationDistance,RD,K+3,RD vs Original,70,62,0.024522059304373598,0.0031945954380853394,7.676107907757716,1.5885686999499897e-10,0.018134070921860913,0.030910047686886283,3.1771373998999793e-10,True
RepresentationDistance,RD,K-1,RD vs Original,82,71,0.005238758354652217,0.0008709201316304299,6.015199516452623,7.365210804018262e-08,0.003501762922739841,0.0069757537865645924,9.820281072024349e-08,True
RepresentationDistance,RD,K-2,RD vs Original,76,67,0.007988421540511277,0.004587340433719197,1.7414058659768237,0.08627181171464439,-0.0011704991470737353,0.017147342228096288,0.08627181171464439,False
RepresentationDistance,RD,K-3,RD vs Original,68,62,0.004760206622235915,0.001320674084975029,3.604376489545428,0.0006307052117284601,0.0021193555738282365,0.0074010576706435936,0.0007208059562610973,True
RepresentationDistance,RD,K_END,RD vs Original,73,73,0.014026978244520214,0.0017086312867502455,8.209482264133777,6.230374455312049e-12,0.010620884025525006,0.01743307246351542,1.6614331880832132e-11,True
