DistType,Story,MapSentenceIndex,PerturbationID,AnchorDistWordIndex,Distance,AtBoundary,EndDistance,N_K_Spans,DistWordIndex,OriginalWordIndex,DistWord,OriginalWord
CD,Story4,2,CD_Story4_s2_k49,49,5,1,5,1,54,53,behind.,behind.
CD,Story4,3,CD_Story4_s3_k65,65,0,0,1,1,65,64,"plate,","battlefield,"
CD,Story4,3,CD_Story4_s3_k65,65,1,1,1,1,66,65,tragically.,tragically.
CD,Story5,3,CD_Story5_s3_k43,43,0,0,13,1,43,42,expertise,respect
CD,Story5,3,CD_Story5_s3_k43,43,1,0,13,1,44,43,to,to
CD,Story5,3,CD_Story5_s3_k43,43,2,0,13,1,45,44,"him,","him,"
CD,Story5,3,CD_Story5_s3_k43,43,3,0,13,1,46,45,became,became
CD,Story5,3,CD_Story5_s3_k43,43,4,0,13,1,47,46,"proud,","proud,"
CD,Story5,3,CD_Story5_s3_k43,43,5,0,13,1,48,47,puffed,puffed
CD,Story5,3,CD_Story5_s3_k43,43,6,0,13,1,49,48,himself,himself
CD,Story5,3,CD_Story5_s3_k43,43,7,0,13,1,50,49,"up,","up,"
CD,Story5,3,CD_Story5_s3_k43,43,8,0,13,1,51,50,and,and
CD,Story5,3,CD_Story5_s3_k43,43,9,0,13,1,52,51,refused,refused
CD,Story5,3,CD_Story5_s3_k43,43,10,0,13,1,53,52,to,to
CD,Story5,4,CD_Story5_s4_k67,67,0,0,5,1,67,66,memory,whip
CD,Story5,4,CD_Story5_s4_k67,67,1,0,5,1,68,67,and,and
CD,Story5,4,CD_Story5_s4_k67,67,2,0,5,1,69,68,"said,","said,"
CD,Story5,4,CD_Story5_s4_k67,67,3,0,5,1,70,69,"""You","""You"
CD,Story5,4,CD_Story5_s4_k67,67,4,0,5,1,71,70,foolish,foolish
CD,Story5,4,CD_Story5_s4_k67,67,5,1,5,1,72,71,animal!,animal!
CD,Story6,2,CD_Story6_s2_k23,23,0,0,7,2,23,23,"hand,","wig,"
CD,Story6,2,CD_Story6_s2_k23,23,1,0,7,2,24,24,causing,causing
CD,Story6,2,CD_Story6_s2_k23,23,2,0,7,2,25,25,his,his
CD,Story6,2,CD_Story6_s2_k23,23,3,0,7,2,26,26,companions,companions
CD,Story6,2,CD_Story6_s2_k23,23,4,0,7,2,27,27,to,to
CD,Story6,2,CD_Story6_s2_k23,23,5,0,7,2,28,28,burst,burst
CD,Story6,2,CD_Story6_s2_k23,23,6,0,7,2,29,29,into,into
CD,Story6,2,CD_Story6_s2_k23,23,7,1,7,2,30,30,laughter.,laughter.
CD,Story6,3,CD_Story6_s3_k61,61,0,0,4,1,61,61,pocket,head
CD,Story6,3,CD_Story6_s3_k61,61,1,0,4,1,62,62,they,they
CD,Story6,3,CD_Story6_s3_k61,61,2,0,4,1,63,63,originally,originally
CD,Story6,3,CD_Story6_s3_k61,61,3,0,4,1,64,64,belonged,belonged
CD,Story6,3,CD_Story6_s3_k61,61,4,1,4,1,65,65,"to?""","to?"""
CD,Story7,2,CD_Story7_s2_k24,24,0,0,6,1,24,24,feather,slap
CD,Story7,2,CD_Story7_s2_k24,24,1,0,6,1,25,25,but,but
CD,Story7,2,CD_Story7_s2_k24,24,2,0,6,1,26,26,ended,ended
CD,Story7,2,CD_Story7_s2_k24,24,3,0,6,1,27,27,up,up
CD,Story7,2,CD_Story7_s2_k24,24,4,0,6,1,28,28,hitting,hitting
CD,Story7,2,CD_Story7_s2_k24,24,5,0,6,1,29,29,himself,himself
CD,Story7,2,CD_Story7_s2_k24,24,6,1,6,1,30,30,instead.,instead.
CD,Story7,3,CD_Story7_s3_k42,42,0,0,29,1,42,42,notes,revenge
CD,Story7,3,CD_Story7_s3_k42,42,1,0,29,1,43,43,on,on
CD,Story7,3,CD_Story7_s3_k42,42,2,0,29,1,44,44,a,a
CD,Story7,3,CD_Story7_s3_k42,42,3,0,29,1,45,45,tiny,tiny
CD,Story7,3,CD_Story7_s3_k42,42,4,0,29,1,46,46,insect,insect
CD,Story7,3,CD_Story7_s3_k42,42,5,0,29,1,47,47,like,like
CD,Story7,3,CD_Story7_s3_k42,42,6,0,29,1,48,48,"me,","me,"
CD,Story7,3,CD_Story7_s3_k42,42,7,0,29,1,49,49,and,and
CD,Story7,3,CD_Story7_s3_k42,42,8,0,29,1,50,50,look—you’ve,look—you’ve
CD,Story7,3,CD_Story7_s3_k42,42,9,0,29,1,51,51,only,only
CD,Story7,3,CD_Story7_s3_k42,42,10,0,29,1,52,52,hurt,hurt
CD,Story7,4,CD_Story7_s4_k81,81,0,0,14,1,81,81,"dreams,","people,"
CD,Story7,4,CD_Story7_s4_k81,81,1,0,14,1,82,82,I,I
CD,Story7,4,CD_Story7_s4_k81,81,2,0,14,1,83,83,wish,wish
CD,Story7,4,CD_Story7_s4_k81,81,3,0,14,1,84,84,I,I
CD,Story7,4,CD_Story7_s4_k81,81,4,0,14,1,85,85,could,could
CD,Story7,4,CD_Story7_s4_k81,81,5,0,14,1,86,86,have,have
CD,Story7,4,CD_Story7_s4_k81,81,6,0,14,1,87,87,killed,killed
CD,Story7,4,CD_Story7_s4_k81,81,7,0,14,1,88,88,"you,","you,"
CD,Story7,4,CD_Story7_s4_k81,81,8,0,14,1,89,89,even,even
CD,Story7,4,CD_Story7_s4_k81,81,9,0,14,1,90,90,if,if
CD,Story7,4,CD_Story7_s4_k81,81,10,0,14,1,91,91,it,it
CD,Story8,2,CD_Story8_s2_k23,23,0,0,2,1,23,23,page,side
CD,Story8,2,CD_Story8_s2_k23,23,1,0,2,1,24,24,to,to
CD,Story8,2,CD_Story8_s2_k23,23,2,1,2,1,25,25,join.,join.
CD,Story8,3,CD_Story8_s3_k62,62,0,0,1,1,62,62,leakage,battle
CD,Story8,3,CD_Story8_s3_k62,62,1,1,1,1,63,63,occurred.,occurred.
