DistType,Model,Bootstrap,Metric,Estimate
CD,log_normal,25,LocalComponentAtKPlus10,-0.047729782424201325
CD,log_normal,26,Baseline,0.01645831944766973
CD,log_normal,26,Amplitude,0.08987402809727896
CD,log_normal,26,PeakDistance,1.388375706881669
CD,log_normal,26,PeakEffect,0.10633234754494869
CD,log_normal,26,HalfMaximumLow,0.8422219459487459
CD,log_normal,26,HalfMaximumHigh,2.2886925622530363
CD,log_normal,26,EffectAtKPlus1,0.08312427404785747
CD,log_normal,26,EffectAtKPlus10,0.01646012469846171
CD,log_normal,26,LocalComponentAtKPlus10,1.8052507919814886e-06
CD,log_normal,27,Baseline,0.019349035766378583
CD,log_normal,27,Amplitude,0.07602396072877456
CD,log_normal,27,PeakDistance,1.4873498943933698
CD,log_normal,27,PeakEffect,0.09537299649515314
CD,log_normal,27,HalfMaximumLow,0.8849137092324499
CD,log_normal,27,HalfMaximumHigh,2.499915737852879
CD,log_normal,27,EffectAtKPlus1,0.07004716681108535
CD,log_normal,27,EffectAtKPlus10,0.019355747411115173
CD,log_normal,27,LocalComponentAtKPlus10,6.711644736590028e-06
CD,log_normal,28,Baseline,0.02021300713889948
CD,log_normal,28,Amplitude,0.06340251524611729
CD,log_normal,28,PeakDistance,1.4146068347682155
CD,log_normal,28,PeakEffect,0.08361552238501677
CD,log_normal,28,HalfMaximumLow,0.8434785367213119
CD,log_normal,28,HalfMaximumHigh,2.372452184440258
CD,log_normal,28,EffectAtKPlus1,0.06662729267790747
CD,log_normal,28,EffectAtKPlus10,0.02021613745559073
CD,log_normal,28,LocalComponentAtKPlus10,3.130316691250107e-06
CD,log_normal,29,Baseline,0.0009091273978648228
CD,log_normal,29,Amplitude,0.09725862073254148
CD,log_normal,29,PeakDistance,1.4821912616377693
CD,log_normal,29,PeakEffect,0.0981677481304063
CD,log_normal,29,HalfMaximumLow,0.8435438129897077
CD,log_normal,29,HalfMaximumHigh,2.6043590175702787
CD,log_normal,29,EffectAtKPlus1,0.07028411292061712
CD,log_normal,29,EffectAtKPlus10,0.0009433911026483523
CD,log_normal,29,LocalComponentAtKPlus10,3.426370478352948e-05
CD,log_normal,30,Baseline,0.018379543818599464
CD,log_normal,30,Amplitude,0.10273705941805393
CD,log_normal,30,PeakDistance,1.5301367757286801
CD,log_normal,30,PeakEffect,0.1211166032366534
CD,log_normal,30,HalfMaximumLow,1.009697347355394
CD,log_normal,30,HalfMaximumHigh,2.318832032756903
CD,log_normal,30,EffectAtKPlus1,0.06810262944266163
CD,log_normal,30,EffectAtKPlus10,0.01837961848328058
CD,log_normal,30,LocalComponentAtKPlus10,7.466468111491653e-08
CD,log_normal,31,Baseline,-0.0010780608188577343
CD,log_normal,31,Amplitude,0.0840766581166311
CD,log_normal,31,PeakDistance,1.6618748699026857
CD,log_normal,31,PeakEffect,0.08299859729777337
CD,log_normal,31,HalfMaximumLow,0.8909345940456532
CD,log_normal,31,HalfMaximumHigh,3.099922375527992
CD,log_normal,31,EffectAtKPlus1,0.05199101323380337
CD,log_normal,31,EffectAtKPlus10,-0.0008088128079835058
CD,log_normal,31,LocalComponentAtKPlus10,0.0002692480108742284
CD,log_normal,32,Baseline,0.009265950755701573
CD,log_normal,32,Amplitude,0.08079868684058188
CD,log_normal,32,PeakDistance,1.3062347585613467
CD,log_normal,32,PeakEffect,0.09006463759628344
CD,log_normal,32,HalfMaximumLow,0.7075833651441564
CD,log_normal,32,HalfMaximumHigh,2.411375575690936
CD,log_normal,32,EffectAtKPlus1,0.08009963217342642
CD,log_normal,32,EffectAtKPlus10,0.009304761890437541
CD,log_normal,32,LocalComponentAtKPlus10,3.8811134735968617e-05
CD,log_normal,33,Baseline,0.013636915775944053
CD,log_normal,33,Amplitude,0.08914634741094746
CD,log_normal,33,PeakDistance,1.5095565800951267
CD,log_normal,33,PeakEffect,0.10278326318689152
CD,log_normal,33,HalfMaximumLow,0.8428342647452506
CD,log_normal,33,HalfMaximumHigh,2.7036882146660917
CD,log_normal,33,EffectAtKPlus1,0.07670327679810954
CD,log_normal,33,EffectAtKPlus10,0.013697402094621114
CD,log_normal,33,LocalComponentAtKPlus10,6.0486318677060655e-05
CD,log_normal,34,Baseline,0.014870087776045036
CD,log_normal,34,Amplitude,0.06696812030109278
CD,log_normal,34,PeakDistance,1.4872003065229915
CD,log_normal,34,PeakEffect,0.08183820807713782
CD,log_normal,34,HalfMaximumLow,0.8396029589261255
CD,log_normal,34,HalfMaximumHigh,2.6342984242825747
CD,log_normal,34,EffectAtKPlus1,0.06282057884960271
CD,log_normal,34,EffectAtKPlus10,0.014900375130679301
CD,log_normal,34,LocalComponentAtKPlus10,3.0287354634265032e-05
CD,log_normal,35,Baseline,0.02077036072626394
CD,log_normal,35,Amplitude,0.08878486914149107
CD,log_normal,35,PeakDistance,1.6367481110790556
CD,log_normal,35,PeakEffect,0.10955522986775501
CD,log_normal,35,HalfMaximumLow,1.0609912245716209
CD,log_normal,35,HalfMaximumHigh,2.524944897826549
CD,log_normal,35,EffectAtKPlus1,0.05703404439258925
