Participant,Story,Story_Version,Word,RT,Word_Condition,WordIndex,SentenceIndex,log_RT,N_Observations,RT_Replaced,StoryNumber,VersionOrder,FreqH,Length,prev_index,lag1_logRT,item_uid,resid_logRT,DistType,MapSentenceIndex,PerturbationID,AnchorDistWordIndex,Distance,AtBoundary,EndDistance,N_K_Spans,DistWordIndex,OriginalWordIndex,DistWord,OriginalWord,ItemID,Condition
P002,Story9,CD,leaving,335.2000000476819,K+1,26,2,5.814727368750177,1,False,9,1,13.354139741288426,7,25.0,5.634789603169256,Story9_CD_w26,0.3603733712726207,CD,2,CD_Story9_s2_k25,25,1,0,5,1,26,26,leaving,leaving,CD_Story9_s2_k25_d1_dw26_ow26,CD
P002,Story9,CD,the,369.0,K+2,27,2,5.910796644040527,1,False,9,1,4.218934101564037,3,26.0,5.814727368750177,Story9_CD_w27,0.3819518109407234,CD,2,CD_Story9_s2_k25,25,2,0,5,1,27,27,the,the,CD_Story9_s2_k25_d2_dw27_ow27,CD
P002,Story9,CD,other,339.500000143049,K+3,28,2,5.827473947420103,1,False,9,1,9.429731384421878,5,27.0,5.910796644040527,Story9_CD_w28,0.25885824926093726,CD,2,CD_Story9_s2_k25,25,3,0,5,1,28,28,other,other,CD_Story9_s2_k25_d3_dw28_ow28,CD
P002,Story9,CD,man,355.6000000953682,CD,29,2,5.873806503907939,1,False,9,1,10.563062107816481,3,28.0,5.827473947420103,Story9_CD_w29,0.3396848280431817,CD,2,CD_Story9_s2_k25,25,4,0,5,1,29,29,man,man,CD_Story9_s2_k25_d4_dw29_ow29,CD
P002,Story9,CD,behind.,286.4000000953674,K_END,30,2,5.657389435419477,1,False,9,1,12.324238255574564,6,29.0,5.873806503907939,Story9_CD_w30,0.10408695646898991,CD,2,CD_Story9_s2_k25,25,5,1,5,1,30,30,behind.,behind.,CD_Story9_s2_k25_d5_dw30_ow30,CD
P002,Story9,CD,the,221.3000001907349,K+1,53,5,5.399519247918888,1,False,9,1,4.218934101564037,3,52.0,5.566051800642872,Story9_CD_w53,-0.02637859788591168,CD,5,CD_Story9_s5_k52,52,1,0,14,1,53,53,the,the,CD_Story9_s5_k52_d1_dw53_ow53,CD
P002,Story9,CD,man,446.2000001430515,K+2,54,5,6.1007672823190315,1,False,9,1,10.563062107816481,3,53.0,5.399519247918888,Story9_CD_w54,0.7438107672608147,CD,5,CD_Story9_s5_k52,52,2,0,14,1,54,54,man,man,CD_Story9_s5_k52_d2_dw54_ow54,CD
P002,Story9,CD,pretended,286.7000000953722,K+3,55,5,5.658436373221979,1,False,9,1,18.036265947990866,9,54.0,6.1007672823190315,Story9_CD_w55,0.011176419681674155,CD,5,CD_Story9_s5_k52,52,3,0,14,1,55,55,pretended,pretended,CD_Story9_s5_k52_d3_dw55_ow55,CD
P002,Story9,CD,to,409.9999999999964,CD,56,5,6.016157159698345,1,False,9,1,5.216250016992825,2,55.0,5.658436373221979,Story9_CD_w56,0.5520138461463802,CD,5,CD_Story9_s5_k52,52,4,0,14,1,56,56,to,to,CD_Story9_s5_k52_d4_dw56_ow56,CD
P002,Story9,CD,be,345.0000001907356,CD,57,5,5.843544417584217,1,False,9,1,7.340513795287394,2,56.0,6.016157159698345,Story9_CD_w57,0.23131145638077744,CD,5,CD_Story9_s5_k52,52,5,0,14,1,57,57,be,be,CD_Story9_s5_k52_d5_dw57_ow57,CD
