Word,FreqH,Length
judge,13.454215042689615,5
"quickly,",13.287712379549449,7
she,9.101845834238116,3
"replied,",15.676067836175788,7
"""I",6.34519787421021,1
don’t,9.305859726259708,5
need,10.065835298472415,4
any,9.739275754853407,3
more,8.770436686339869,4
time.,9.002310160687202,4
donkey’s,23.183107336320138,8
character,12.92034131390092,9
is,6.417347659966045,2
clear,12.455835138357777,5
from,7.871548214816321,4
company,11.294943948780524,7
"keeps.""",14.383131944628133,5
traveler,18.036265947990866,8
hired,15.247872115017659,5
take,10.231128851183081,4
him,9.598413219013558,3
distant,15.977372258937299,7
location.,13.753650777128332,8
On,6.942528932361784,2
particularly,13.420606650046794,12
hot,12.75165947930924,3
"day,",10.132286947802251,3
sun,13.387763393359778,3
blazing,18.33702001977382,7
"down,",10.363612493908708,4
decided,12.989054063984934,7
break,12.693163829999095,5
sought,14.982033636307161,6
shelter,15.777763233245139,7
heat,13.753650777128332,4
under,10.862790291338762,5
donkey's,23.183107336320138,8
shadow.,15.150208855799514,6
"However,",11.361712960993227,7
shadow,15.150208855799514,6
only,9.565246355078358,4
provided,13.21732305165805,8
enough,11.492776716745913,6
light,12.190101582923027,5
for,6.6152870375779536,3
"person,",11.45989335493213,6
both,10.662441890174756,4
claimed,14.482007194710938,7
right,10.098678555159433,5
it.,6.81035885291489,2
argued,15.414292876114592,6
had,8.868173488035664,3
lent,17.440998438877973,4
"donkey,",17.871521185654235,6
not,7.673002535434241,3
"answer,",12.722115203695225,6
speaking,13.586385122136509,8
tone,14.982033636307161,4
suggested,14.349614818475356,9
entirely,14.21732305165805,8
serious.,12.954288645824258,7
In,5.748553568441418,2
"response,",13.190101582923027,8
insisted,16.408006613267162,8
when,8.739275754853407,4
also,9.333516069162574,4
disagreement,17.73937440404083,12
escalated,18.472136950686878,9
physical,13.486967755612671,8
"fight,",12.522177633186471,5
amid,16.776143137576977,4
"rumors,",16.581071322240042,6
off,10.19855324763821,3
ran,13.720166931905702,3
away.,11.227664995879511,4
envied,20.82857457600085,6
horse,14.086078518379798,5
being,10.132286947802251,5
well-fed,12.390910074681287,7
cared,16.24226940878828,5
"for,",6.6152870375779536,3
while,10.431722682240968,5
barely,14.982033636307161,6
eat,12.854752972273344,3
work,10.098678555159433,4
hard,11.52642710618783,4
war,11.761643567881862,3
broke,13.785891114128539,5
"out,",8.702749878828293,3
soldier,15.083571662769224,7
armed,14.649870319225345,5
teeth,14.683641055880589,5
mounted,15.74570202401284,7
charged,14.549593090766873,7
straight,13.150208855799514,8
heart,12.259143227352679,5
"battle,",13.486967755612671,6
stayed,14.848355201075192,6
behind.,12.324238255574564,6
gravely,19.632910253759658,7
wounded,15.546137532130654,7
fell,13.785891114128539,4
dead,12.655444164049937,4
"battlefield,",16.842409437412936,11
tragically.,19.0676301189002,10
changed,13.06120384974077,7
mind,11.925944020130295,4
felt,12.854752972273344,4
pity,16.676067836175786,4
"horse,",14.086078518379798,5
realizing,16.70969148824714,9
cost,12.488625073475445,4
such,10.496940341687448,4
privileged,17.240034404404973,10
life.,10.331655727137047,4
once,11.52642710618783,4
carried,14.051372840381076,7
famous,13.818868436574812,6
wooden,15.51202967781039,6
statue,16.310982158872296,6
through,10.39823883701834,7
streets,14.417446309153467,7
city,11.262683585057927,4
be,7.340513795287394,2
temples.,17.60675796590369,7
As,7.407516650606351,2
passed,13.553056946070445,6
"by,",7.773590119378742,2
crowd,14.284829871016328,5
bowed,18.83395777269775,5
low,12.190101582923027,3
reverence,19.200385327751974,9
statue.,16.310982158872296,6
thinking,12.488625073475445,8
they,8.305859726259708,4
were,8.834853414835639,4
showing,13.68554058879607,7
respect,13.190101582923027,7
"him,",9.598413219013558,3
became,12.79201721692538,6
"proud,",14.017482472311452,5
puffed,20.264357656843302,6
himself,12.455835138357777,7
"up,",8.673002535434241,2
refused,14.814704811633275,7
move,12.12421364726657,4
further.,12.259143227352679,7
"stop,",11.560881162516957,4
driver,14.119070343990611,6
struck,15.214577674919234,6
whip,16.581071322240042,4
"said,",9.937215132465315,4
"""You",6.710283551513701,3
foolish,16.97551191691177,7
animal!,13.918106309517611,6
It’s,8.868173488035664,4
you,6.710283551513701,3
are,7.50635266602479,3
bowing,19.435873406700104,6
to;,5.216250016992825,2
no,8.802285552379209,2
worships,20.429747303903262,8
donkey.,17.871521185654235,6
bald,17.174545322816716,4
knight,15.676067836175788,6
wore,15.646166350461925,4
wig,17.8039352895983,3
out,8.702749878828293,3
hunting,15.214577674919234,7
day.,10.132286947802251,3
"Suddenly,",14.316858725208967,8
gust,19.598144835598983,4
wind,13.818868436574812,4
blew,16.20910254485308,4
hat,14.848355201075192,3
"wig,",17.8039352895983,3
causing,14.848355201075192,7
companions,17.30629807994948,10
burst,16.113945311812742,5
laughter.,16.27621674071162,8
Stopping,15.646166350461925,8
laughed,15.810553168362809,7
along,12.024677973715656,5
"""Isn't",11.925944020130295,5
funny,13.21732305165805,5
these,9.828280760912152,5
"hairs,",17.37330093526844,5
which,8.965784284662087,5
aren't,13.12421364726657,6
even,9.99935381735579,4
"mine,",13.150208855799514,4
would,9.07048166332878,5
leave,12.156781509723,5
me,8.371235735111732,2
already,11.45989335493213,7
abandoned,15.281953110260764,9
whose,13.06120384974077,5
head,11.59171856643955,4
originally,14.316858725208967,10
belonged,16.581071322240042,8
"to?""",5.216250016992825,2
fly,14.119070343990611,3
landed,15.810553168362809,6
bit,12.06120384974077,3
him.,9.598413219013558,3
"Annoyed,",16.776143137576977,7
tried,12.75165947930924,5
kill,12.989054063984934,4
feather,17.63878682009633,7
ended,13.553056946070445,5
hitting,15.083571662769224,7
instead.,12.488625073475445,7
"fly,",14.119070343990611,3
having,11.327942224337981,6
"escaped,",16.01509192488646,7
mocked,18.503962396542274,6
"saying,",12.06120384974077,6
notes,13.818868436574812,5
tiny,14.549593090766873,4
insect,17.408006613267162,6
like,8.604015925242933,4
"me,",8.371235735111732,2
look—you’ve,11.725465593451798,10
hurt,13.486967755612671,4
yourself,12.259143227352679,8
"instead!""",12.488625073475445,7
can,8.4397154729945,3
forgive,15.777763233245139,7
myself,12.259143227352679,6
because,9.868173488035664,7
I,6.34519787421021,1
know,9.632360550936895,4
didn’t,11.027686723587994,6
mean,11.52642710618783,4
cause,12.12421364726657,5
harm.,15.048925519962333,4
But,7.871548214816321,3
"you,",6.710283551513701,3
nasty,15.878457232864612,5
little,10.797142249103247,6
enjoys,16.842409437412936,6
biting,17.37330093526844,6
"dreams,",14.649870319225345,6
wish,12.693163829999095,4
have,7.606825458829758,4
killed,12.556529137977249,6
if,8.405069330187608,2
"pain.""",13.190101582923027,4
great,10.363612493908708,5
conflict,14.482007194710938,8
about,8.63809692048604,5
arise,16.842409437412936,5
between,10.729444745493714,7
Birds,14.616872043667888,5
Beasts.,17.60675796590369,6
some,9.305859726259708,4
armies,16.94242956195594,6
"gathered,",15.714337853103505,8
Bat,15.609640474436812,3
couldn’t,12.989054063984934,8
decide,14.017482472311452,6
side,11.627787821147072,4
join.,13.287712379549449,4
passing,14.515404404591045,7
invited,14.848355201075192,7
him:,9.598413219013558,3
“Join,13.287712379549449,4
"us,”",9.828280760912152,2
“I,6.34519787421021,1
am,10.69555437742409,2
Beast.”,15.646166350461925,5
"Later,",11.6601055414198,5
Beasts,17.60675796590369,6
urged,16.581071322240042,5
join,13.287712379549449,4
"them,",9.333516069162574,4
"claimed,",14.482007194710938,7
Bird.”,14.515404404591045,4
"Fortunately,",16.70969148824714,11
peace,13.21732305165805,5
"declared,",14.781821449819493,8
battle,13.486967755612671,6
occurred.,14.714337853103505,8
celebrate,14.982033636307161,9
"Birds,",14.616872043667888,5
rejected,15.383131944628133,8
forcing,15.913646661326911,7
leave.,12.156781509723,5
"Beasts,",17.60675796590369,6
turned,12.989054063984934,6
"hostile,",16.383131944628133,7
escaped.,16.01509192488646,7
Reflecting,16.842409437412936,10
"situation,",12.989054063984934,9
“Now,9.371235735111732,3
understand:,12.06120384974077,10
‘One,8.405069330187608,3
tries,14.848355201075192,5
belong,15.346606068603018,6
neither,14.051372840381076,7
ends,14.119070343990611,4
friends.’”,11.86010620676755,7
Two,9.632360550936895,3
men,11.59171856643955,3
traveling,15.714337853103505,9
together,11.761643567881862,8
Bear,14.250681648604482,4
suddenly,14.316858725208967,8
appeared,13.852617227929352,8
their,8.868173488035664,5
path.,14.250681648604482,4
One,8.405069330187608,3
hid,17.30629807994948,3
among,12.259143227352679,5
"whispers,",18.036265947990866,8
leaving,13.354139741288426,7
"other,",9.429731384421878,5
"escape,",14.482007194710938,6
lay,14.482007194710938,3
flat,14.21732305165805,4
ground.,12.79201721692538,6
"approached,",16.0735875741966,10
sniffed,20.429747303903262,7
thoroughly.,16.310982158872296,10
Holding,13.653583822024409,7
"future,",12.190101582923027,6
pretended,18.036265947990866,9
"dead,",12.655444164049937,4
knowing,14.086078518379798,7
bears,15.478709604610364,5
said,9.937215132465315,4
avoid,13.720166931905702,5
corpses.,18.271644010921797,7
After,9.598413219013558,5
inspecting,19.395515669083963,10
wandered,18.405499757656585,8
off.,10.19855324763821,3
danger,14.649870319225345,6
"passed,",13.553056946070445,6
came,11.627787821147072,4
down,10.363612493908708,4
jokingly,19.33702001977382,8
"asked,",12.287712379549449,5
“What,8.702749878828293,4
did,10.098678555159433,3
whisper,17.472136950686878,7
your,8.204499011300468,4
ear?”.,15.182034301654912,3
His,8.269790471552188,3
companion,16.176681067160704,9
“He,7.673002535434241,2
gave,12.455835138357777,4
wise,14.913646661326911,4
advice:,13.68554058879607,6
never,10.264457027249147,5
travel,13.287712379549449,6
someone,11.193476309703684,7
abandons,20.06446283982152,8
times,11.427742831328423,5
"prayer,",15.214577674919234,6
especially,12.59171856643955,10
without,10.994930630321603,7
hesitation.”,18.103749544706854,10
"Bee,",16.310982158872296,3
queen,13.753650777128332,5
her,8.965784284662087,3
hive,18.271644010921797,4
Mount,15.048925519962333,5
"Hymettus,",26.20805369345037,8
Olympus,19.0996913281325,7
offer,13.12421364726657,5
Jupiter,17.671542913362718,7
fresh,13.852617227929352,5
honey,15.383131944628133,5
combs.,19.36597139346995,5
Pleased,15.150208855799514,7
"gift,",14.017482472311452,4
promised,14.982033636307161,8
grant,14.383131944628133,5
wish.,12.693163829999095,4
Bee,16.310982158872296,3
“Grant,14.383131944628133,5
sting,17.27392856411635,5
mortal,17.075578872015694,6
my,8.07048166332878,2
"honey,",15.383131944628133,5
protect,13.553056946070445,7
hive.”,18.271644010921797,4
"Jupiter,",17.671542913362718,7
loving,15.048925519962333,6
"mankind,",17.00746868368343,7
displeased,20.031619583134503,10
request,14.086078518379798,7
honored,16.27621674071162,7
promise.,14.250681648604482,7
“You,6.710283551513701,3
shall,13.190101582923027,5
"sting,",17.27392856411635,5
will,8.470089122038019,4
come,10.69555437742409,4
at,7.640973681241603,2
cost.,12.488625073475445,4
If,8.405069330187608,2
use,10.59617821463025,3
"it,",6.81035885291489,2
remain,13.852617227929352,6
wound,15.810553168362809,5
"inflict,",18.800637699497724,7
die,13.06120384974077,3
it.”,6.81035885291489,2
rich,13.586385122136509,4
hosted,15.777763233245139,6
feast,16.776143137576977,5
many,10.264457027249147,4
guests.,15.214577674919234,6
dog,12.954288645824258,3
"stray,",17.472136950686878,5
saying,12.06120384974077,6
there,8.937215132465315,5
plenty,14.21732305165805,6
food,11.960025015373402,4
over.,9.702749878828293,4
stray,17.472136950686878,5
"arrived,",13.984369985062118,7
delighted,16.310982158872296,9
sight,14.814704811633275,5
"feast,",16.776143137576977,5
thought,11.327942224337981,7
he'd,14.714337853103505,4
last,10.431722682240968,4
days.,11.262683585057927,4
as,7.407516650606351,2
moved,13.259143227352679,5
around,10.729444745493714,6
"dishes,",16.176681067160704,6
cook,14.44936564302822,4
threw,15.083571662769224,5
