Participant,Story,Story_Version,Word,RT,Word_Condition,WordIndex,SentenceIndex,log_RT,N_Observations,RT_Replaced,StoryNumber,VersionOrder,FreqH,Length,prev_index,lag1_logRT,item_uid,resid_logRT,PositionInSentence,SentenceLength,RelativePosition,RelativeBin,DistType,MapSentenceIndex,Position,DistWordIndex,OriginalWordIndex,DistWord,OriginalWord,Offset,ItemID,Condition
P095,Story18,CD,we,377.6000000014901,K+1,90,6,5.9338354342752915,1,False,18,1,8.170848621858552,2,89.0,5.934894195631368,Story18_CD_w90,0.023755269621522856,22,28,0.8148148148148148,0.85,CD,6,K+1,90,90,we,we,1,CD_Story18_s6_d90_o90_K+1,CD
P095,Story18,CD,still,401.7999999970198,K+2,91,6,5.995954452373417,1,False,18,1,10.231128851183081,5,90.0,5.9338354342752915,Story18_CD_w91,0.08631260719534062,23,28,0.8518518518518519,0.85,CD,6,K+2,91,91,still,still,2,CD_Story18_s6_d91_o91_K+2,CD
P095,Story18,CD,wouldn’t,407.1999999955297,K+3,92,6,6.009304465225335,1,False,18,1,12.693163829999095,8,91.0,5.995954452373417,Story18_CD_w92,0.07394579983373006,24,28,0.8888888888888888,0.85,CD,6,K+3,92,92,wouldn’t,wouldn’t,3,CD_Story18_s6_d92_o92_K+3,CD
P095,Story18,CD,you.”,400.1999999955297,K_END,95,6,5.991964422138462,1,False,18,1,6.710283551513701,3,94.0,6.001167322565678,Story18_CD_w95,0.05444766652529154,27,28,1.0,0.95,CD,6,K_END,95,95,you.”,you.”,4,CD_Story18_s6_d95_o95_K_END,CD
P096,Story6,CD,blew,388.2999999523163,K-3,18,2,5.96177823661482,1,False,6,1,16.20910254485308,4,17.0,5.915932484431264,Story6_CD_w18,-0.027931677779807096,5,18,0.29411764705882354,0.25,CD,2,K-3,18,18,blew,blew,-3,CD_Story6_s2_d18_o18_K-3,CD
P096,Story6,CD,off,338.600000023871,K-2,19,2,5.824819469769534,1,False,6,1,10.19855324763821,3,18.0,5.96177823661482,Story6_CD_w19,-0.18387025149512493,6,18,0.35294117647058826,0.35,CD,2,K-2,19,19,off,off,-2,CD_Story6_s2_d19_o19_K-2,CD
P096,Story6,CD,his,353.3999999761581,K-3|K-1,20,2,5.867600559818132,1,False,6,1,8.269790471552188,3,19.0,5.824819469769534,Story6_CD_w20,-0.08438923135325016,7,18,0.4117647058823529,0.45,CD,2,K-3,20,20,his,his,-3,CD_Story6_s2_d20_o20_K-3,CD
P096,Story6,CD,his,353.3999999761581,K-3|K-1,20,2,5.867600559818132,1,False,6,1,8.269790471552188,3,19.0,5.824819469769534,Story6_CD_w20,-0.08438923135325016,7,18,0.4117647058823529,0.45,CD,2,K-1,20,20,his,his,-1,CD_Story6_s2_d20_o20_K-1,CD
P096,Story6,CD,wig,357.6999999761483,K-2|K,21,2,5.879694646198291,1,False,6,1,17.8039352895983,3,20.0,5.867600559818132,Story6_CD_w21,-0.09000620408192272,8,18,0.47058823529411764,0.45,CD,2,K-2,21,21,wig,hat,-2,CD_Story6_s2_d21_o21_K-2,CD
P096,Story6,CD,wig,357.6999999761483,K-2|K,21,2,5.879694646198291,1,False,6,1,17.8039352895983,3,20.0,5.867600559818132,Story6_CD_w21,-0.09000620408192272,8,18,0.47058823529411764,0.45,CD,2,K,21,21,wig,hat,0,CD_Story6_s2_d21_o21_K,CD
