DistType,Story,PerturbationID,Distance,AtBoundary,DistWordIndex,OriginalWordIndex,DistSurprisal,OriginalSurprisal,DeltaSurprisal,RepresentationDistance
CD,Story2,CD_Story2_s2_k35,2,0,37,37,3.806429386138916,3.5524535179138184,0.25397586822509766,0.013307929039001465
CD,Story2,CD_Story2_s2_k35,3,0,38,38,1.0665982961654663,0.5576086044311523,0.508989691734314,0.0165061354637146
CD,Story2,CD_Story2_s2_k35,4,1,39,39,8.990533828735352,11.061721801757812,-2.071187973022461,0.0057065486907958984
CD,Story2,CD_Story2_s3_k46,0,0,46,46,13.227667808532715,5.143843173980713,8.083824634552002,0.04731464385986328
CD,Story2,CD_Story2_s3_k46,1,0,47,47,1.0201656818389893,0.43757903575897217,0.5825866460800171,0.02236652374267578
CD,Story2,CD_Story2_s3_k46,2,0,48,48,5.676647663116455,4.323528289794922,1.3531193733215332,0.015064001083374023
CD,Story2,CD_Story2_s3_k46,3,0,49,49,1.0274980068206787,1.0971803665161133,-0.06968235969543457,0.029970884323120117
CD,Story2,CD_Story2_s3_k46,4,0,50,50,23.712177276611328,20.168466567993164,3.543710708618164,0.014933168888092041
CD,Story2,CD_Story2_s3_k46,5,0,51,51,3.377725601196289,2.774592876434326,0.6031327247619629,0.009984135627746582
CD,Story2,CD_Story2_s3_k46,6,0,52,52,5.710449695587158,6.022177696228027,-0.31172800064086914,0.016918957233428955
CD,Story2,CD_Story2_s3_k46,7,0,53,53,3.515101194381714,3.091613292694092,0.42348790168762207,0.02282506227493286
CD,Story2,CD_Story2_s3_k46,8,0,54,54,1.3419640064239502,2.5803418159484863,-1.2383778095245361,0.008494853973388672
CD,Story2,CD_Story2_s3_k46,9,0,55,55,2.5246071815490723,1.7987334728240967,0.7258737087249756,0.026174724102020264
CD,Story2,CD_Story2_s3_k46,10,1,56,56,5.039593696594238,8.238216400146484,-3.198622703552246,0.011273801326751709
CD,Story2,CD_Story2_s4_k63,0,0,63,63,9.724198341369629,7.070699691772461,2.653498649597168,0.038512587547302246
CD,Story2,CD_Story2_s4_k63,1,0,64,64,0.36784881353378296,0.6822168827056885,-0.3143680691719055,0.027400195598602295
CD,Story2,CD_Story2_s4_k63,2,0,65,65,0.39048755168914795,0.5655227303504944,-0.17503517866134644,0.07151204347610474
CD,Story2,CD_Story2_s4_k63,3,0,66,66,8.998787879943848,7.123457431793213,1.8753304481506348,0.0501825213432312
CD,Story2,CD_Story2_s4_k63,4,0,67,67,2.1452393531799316,0.7926020622253418,1.3526372909545898,0.029334843158721924
CD,Story2,CD_Story2_s4_k63,5,0,68,68,3.041667938232422,2.8044145107269287,0.23725342750549316,0.011891484260559082
CD,Story2,CD_Story2_s4_k63,6,0,69,69,0.47888875007629395,0.3265846371650696,0.15230411291122437,0.01648533344268799
CD,Story2,CD_Story2_s4_k63,7,0,70,70,2.4642343521118164,2.64640212059021,-0.18216776847839355,0.007160186767578125
CD,Story2,CD_Story2_s4_k63,8,0,71,71,0.3367854356765747,0.20579944550991058,0.13098599016666412,0.007790625095367432
CD,Story2,CD_Story2_s4_k63,9,0,72,72,1.631643295288086,2.2234315872192383,-0.5917882919311523,0.006318271160125732
CD,Story2,CD_Story2_s4_k63,10,1,73,73,1.9290190935134888,2.0790152549743652,-0.14999616146087646,0.013429105281829834
CD,Story3,CD_Story3_s3_k46,0,0,46,46,5.850295543670654,3.4752955436706543,2.375,0.05084395408630371
CD,Story3,CD_Story3_s3_k46,1,0,47,47,0.7260887622833252,0.2455042451620102,0.480584517121315,0.017964482307434082
CD,Story3,CD_Story3_s3_k46,2,0,48,48,5.513354301452637,2.0239570140838623,3.4893972873687744,0.025598347187042236
CD,Story3,CD_Story3_s3_k46,3,0,49,49,3.0107836723327637,1.861008882522583,1.1497747898101807,0.0037990808486938477
CD,Story3,CD_Story3_s3_k46,4,0,50,50,9.762825965881348,9.926311492919922,-0.16348552703857422,0.0031546354293823242
CD,Story3,CD_Story3_s3_k46,5,0,51,51,5.410057544708252,5.723928451538086,-0.313870906829834,0.0015949606895446777
CD,Story3,CD_Story3_s3_k46,6,0,52,52,0.9393851161003113,0.9361188411712646,0.003266274929046631,0.000484466552734375
CD,Story3,CD_Story3_s3_k46,7,0,53,53,2.3727614879608154,2.134730815887451,0.23803067207336426,0.0011428594589233398
CD,Story3,CD_Story3_s3_k46,8,0,54,54,0.08747407793998718,0.07669061422348022,0.010783463716506958,0.0003581047058105469
CD,Story3,CD_Story3_s3_k46,9,0,55,55,1.4351081848144531,1.4225506782531738,0.012557506561279297,0.0007083415985107422
CD,Story3,CD_Story3_s3_k46,10,0,56,56,12.268861770629883,13.319596290588379,-1.050734519958496,0.003975927829742432
CD,Story3,CD_Story3_s4_k75,0,0,75,75,17.165454864501953,1.0344281196594238,16.13102674484253,0.025336265563964844
CD,Story3,CD_Story3_s4_k75,1,0,76,76,14.23843002319336,15.146867752075195,-0.9084377288818359,0.027947723865509033
CD,Story3,CD_Story3_s4_k75,2,0,77,77,2.8193178176879883,1.9261618852615356,0.8931559324264526,0.019042789936065674
CD,Story3,CD_Story3_s4_k75,3,0,78,78,7.1680145263671875,7.409303188323975,-0.2412886619567871,0.006205201148986816
CD,Story3,CD_Story3_s4_k75,4,0,79,79,11.671581268310547,11.876376152038574,-0.20479488372802734,0.0007799267768859863
CD,Story3,CD_Story3_s4_k75,5,0,80,80,6.62746000289917,6.723391532897949,-0.0959315299987793,0.0012947320938110352
CD,Story3,CD_Story3_s4_k75,6,0,81,81,12.161933898925781,12.706876754760742,-0.5449428558349609,0.0006811618804931641
CD,Story3,CD_Story3_s4_k75,7,0,82,82,1.4063411951065063,1.4466086626052856,-0.0402674674987793,0.0005148649215698242
CD,Story3,CD_Story3_s4_k75,8,0,83,83,5.1829514503479,5.128279209136963,0.0546722412109375,0.000704348087310791
CD,Story3,CD_Story3_s4_k75,9,0,84,84,8.553704261779785,8.261587142944336,0.2921171188354492,0.0023615360260009766
CD,Story3,CD_Story3_s4_k75,10,1,85,85,9.682889938354492,9.641477584838867,0.041412353515625,0.003592550754547119
CD,Story3,CD_Story3_s6_k114,0,0,114,114,27.951431274414062,4.966544151306152,22.98488712310791,0.019371747970581055
CD,Story3,CD_Story3_s6_k114,1,0,115,115,11.030668258666992,9.789212226867676,1.2414560317993164,0.03141748905181885
CD,Story3,CD_Story3_s6_k114,2,0,116,116,5.796675682067871,4.276605129241943,1.5200705528259277,0.01589411497116089
CD,Story3,CD_Story3_s6_k114,3,0,117,117,5.090096473693848,4.676776885986328,0.41331958770751953,0.006006479263305664
CD,Story3,CD_Story3_s6_k114,4,0,118,118,0.9964869022369385,1.0948125123977661,-0.09832561016082764,0.0018213391304016113
CD,Story3,CD_Story3_s6_k114,5,0,119,119,2.5356831550598145,3.0759453773498535,-0.5402622222900391,0.004493772983551025
CD,Story3,CD_Story3_s6_k114,6,0,120,120,1.0776844024658203,0.5883281826972961,0.48935621976852417,0.0011991262435913086
CD,Story3,CD_Story3_s6_k114,7,1,121,121,1.7590150833129883,1.783642053604126,-0.024626970291137695,0.001863718032836914
CD,Story4,CD_Story4_s2_k49,0,0,49,48,20.043731689453125,7.915525913238525,12.1282057762146,0.03231161832809448
CD,Story4,CD_Story4_s2_k49,1,0,50,49,1.8562134504318237,1.2770987749099731,0.5791146755218506,0.00511699914932251
CD,Story4,CD_Story4_s2_k49,2,0,51,50,0.8630928993225098,0.5510715246200562,0.3120213747024536,0.004491865634918213
CD,Story4,CD_Story4_s2_k49,3,0,52,51,8.452486038208008,8.35300064086914,0.09948539733886719,0.0057070255279541016
CD,Story4,CD_Story4_s2_k49,4,0,53,52,4.648858070373535,3.299880027770996,1.348978042602539,0.00314176082611084
CD,Story4,CD_Story4_s2_k49,5,1,54,53,5.534891605377197,5.874063968658447,-0.33917236328125,0.002542257308959961
CD,Story4,CD_Story4_s3_k65,0,0,65,64,13.994301795959473,2.1200077533721924,11.87429404258728,0.006553173065185547
CD,Story4,CD_Story4_s3_k65,1,1,66,65,14.425313949584961,15.060752868652344,-0.6354389190673828,0.006270945072174072
CD,Story5,CD_Story5_s3_k43,0,0,43,42,12.692278861999512,1.2420766353607178,11.450202226638794,0.06818443536758423
CD,Story5,CD_Story5_s3_k43,1,0,44,43,10.021513938903809,0.6055813431739807,9.415932595729828,0.11291700601577759
