DistType,Story,SentenceIndex,PositionUnitID,Position,DistWordIndex,OriginalWordIndex,DistWord,OriginalWord,DistSurprisal,OriginalSurprisal,DeltaSurprisal,RepresentationDistance
CD,Story21,3,CD_Story21_s3,K+3,50,50,that,that,0.9385756850242615,0.8110044002532959,0.12757128477096558,0.00929403305053711
CD,Story21,3,CD_Story21_s3,K_END,57,57,wings.,wings.,3.7995307445526123,3.3695743083953857,0.42995643615722656,0.004818916320800781
RD,Story21,2,RD_Story21_s2,K-3,19,19,hidden,hidden,11.983283042907715,11.983283042907715,0.0,-1.1920928955078125e-07
RD,Story21,2,RD_Story21_s2,K-2,20,20,archer,archer,9.02211856842041,9.02211856842041,0.0,5.960464477539063e-08
RD,Story21,2,RD_Story21_s2,K-1,21,21,spotted,spotted,11.056319236755371,11.056319236755371,0.0,-1.1920928955078125e-07
RD,Story21,2,RD_Story21_s2,K,22,22,some,the,10.728309631347656,0.7283096313476562,10.0,0.14554250240325928
RD,Story21,2,RD_Story21_s2,K+1,23,23,"eagle,","eagle,",11.91870403289795,3.1644973754882812,8.754206657409668,0.03860342502593994
RD,Story21,2,RD_Story21_s2,K+2,24,24,aimed,aimed,3.785607099533081,1.562454342842102,2.223152756690979,0.0039004087448120117
RD,Story21,2,RD_Story21_s2,K+3,25,25,"carefully,","carefully,",7.379855632781982,6.924934387207031,0.45492124557495117,0.006491541862487793
RD,Story21,2,RD_Story21_s2,K_END,33,33,mercy.,mercy.,13.564837455749512,14.77507209777832,-1.2102346420288086,0.00854867696762085
RD,Story21,3,RD_Story21_s3,K-3,39,39,he,he,0.32617297768592834,0.288164347410202,0.03800863027572632,0.006601989269256592
RD,Story21,3,RD_Story21_s3,K-2,40,40,looked,looked,8.260674476623535,7.930598258972168,0.3300762176513672,0.004327058792114258
RD,Story21,3,RD_Story21_s3,K-1,41,41,at,at,2.037994384765625,2.300386667251587,-0.2623922824859619,0.005668818950653076
RD,Story21,3,RD_Story21_s3,K,42,42,an,the,9.596460342407227,0.3224124610424042,9.274047881364822,0.16642576456069946
RD,Story21,3,RD_Story21_s3,K+1,43,43,arrow,arrow,1.3516969680786133,3.6372828483581543,-2.285585880279541,0.029110074043273926
RD,Story21,3,RD_Story21_s3,K+2,44,44,that,that,4.797740459442139,4.800941467285156,-0.003201007843017578,0.01375114917755127
RD,Story21,3,RD_Story21_s3,K+3,45,45,struck,struck,3.7117667198181152,4.465778827667236,-0.7540121078491211,0.018354058265686035
RD,Story21,3,RD_Story21_s3,K_END,57,57,wings.,wings.,3.16255521774292,3.3695743083953857,-0.20701909065246582,0.0056035518646240234
RD,Story21,4,RD_Story21_s4,K-3,59,59,hurts,hurts,11.34117317199707,11.303604125976562,0.03756904602050781,0.006035506725311279
RD,Story21,4,RD_Story21_s4,K-2,60,60,even,even,13.494068145751953,12.283672332763672,1.2103958129882812,0.00710374116897583
RD,Story21,4,RD_Story21_s4,K-1,61,61,"more,”","more,”",1.5849525928497314,1.0657076835632324,0.519244909286499,0.0018306970596313477
RD,Story21,4,RD_Story21_s4,K,62,62,she,he,5.774615287780762,1.691772222518921,4.082843065261841,0.09675717353820801
RD,Story21,4,RD_Story21_s4,K+1,63,63,"said,","said,",10.003061294555664,11.65041732788086,-1.6473560333251953,0.008497357368469238
RD,Story21,4,RD_Story21_s4,K+2,64,64,“to,“to,3.1410255432128906,3.212259292602539,-0.07123374938964844,0.011167526245117188
RD,Story21,4,RD_Story21_s4,K+3,65,65,be,be,7.159338474273682,6.40350341796875,0.7558350563049316,0.006098508834838867
RD,Story21,4,RD_Story21_s4,K_END,74,74,feathers.”,feathers.”,1.130416750907898,1.2332452535629272,-0.1028285026550293,0.009504735469818115
CD,Story3,3,CD_Story3_s3,K-3,43,43,only,only,4.7680745124816895,4.7680745124816895,0.0,-1.1920928955078125e-07
CD,Story3,3,CD_Story3_s3,K-2,44,44,provided,provided,2.3472158908843994,2.3472158908843994,0.0,0.0
CD,Story3,3,CD_Story3_s3,K-1,45,45,enough,enough,7.701702117919922,7.701702117919922,0.0,0.0
