Story,Story_Version,MeanZipfFrequency,MedianZipfFrequency,MeanWordLength,WordCount,OOVRate,MeanNLL,Perplexity,ModelTokenCount
Story2,RD,5.966435643564356,6.16,4.138613861386139,101,0.0,2.395371437072754,10.972272811171015,124
Story20,Original,5.864337349397591,6.27,4.048192771084337,83,0.0,2.5767130851745605,13.153831502224914,105
Story20,CD,5.906867469879518,6.29,4.0,83,0.0,2.7915127277374268,16.30566718972974,105
Story20,RD,5.8346987951807225,6.27,4.036144578313253,83,0.0,2.9054417610168457,18.273314307337074,105
Story21,Original,5.792432432432433,6.0,4.027027027027027,74,0.0,2.357884407043457,10.568568994571184,87
Story21,CD,5.787432432432433,6.0,4.108108108108108,74,0.0,2.76212215423584,15.833408254680364,87
Story21,RD,5.749729729729731,6.0,4.04054054054054,74,0.0,2.7017033100128174,14.905098118190825,87
Story3,Original,5.818429752066115,5.93,4.462809917355372,121,0.0,1.9276479482650757,6.873324799025612,144
Story3,CD,5.823140495867769,5.93,4.471074380165289,121,0.0,2.19657301902771,8.994137885185607,144
Story3,RD,5.802066115702479,5.92,4.487603305785124,121,0.0,2.2347705364227295,9.34433742107976,144
Story4,Original,5.83367816091954,5.86,4.333333333333333,87,0.0,2.2980895042419434,9.955145012811355,104
Story4,CD,5.846590909090909,5.875,4.193181818181818,88,0.0,2.5803580284118652,13.201863956009026,105
Story4,RD,5.815632183908045,5.86,4.32183908045977,87,0.0,2.6396234035491943,14.0079272785763,104
Story5,Original,5.804457831325301,6.11,4.204819277108434,83,0.0,2.154757022857666,8.625794053534293,104
Story5,CD,5.808690476190477,6.11,4.261904761904762,84,0.0,2.562130928039551,12.963412002078961,105
Story5,RD,5.77433734939759,6.11,4.204819277108434,83,0.0,2.7431299686431885,15.535534813980338,104
Story6,Original,5.608461538461539,5.82,4.338461538461538,65,0.0,2.6331169605255127,13.917081360241681,77
Story6,CD,5.6061538461538465,5.82,4.384615384615385,65,0.0,2.9141616821289062,18.433352914497263,77
Story6,RD,5.614615384615385,5.82,4.292307692307692,65,0.0,3.001662015914917,20.11894716169697,77
Story7,Original,5.866770833333334,5.87,3.9270833333333335,96,0.0,2.3868114948272705,10.878751628610832,117
Story7,CD,5.852395833333335,5.82,3.9375,96,0.0,2.724682569503784,15.251571844368863,117
Story7,RD,5.848958333333333,5.87,3.90625,96,0.0,2.754739284515381,15.716942718259205,117
Story8,Original,5.821140350877192,6.075,4.315789473684211,114,0.0,2.1998867988586426,9.023991915428548,148
Story8,CD,5.786228070175438,6.075,4.298245614035087,114,0.0,2.528982400894165,12.540738197471994,150
Story8,RD,5.799122807017544,6.075,4.333333333333333,114,0.0,2.6651079654693604,14.369500872156552,148
Story9,Original,5.71,5.82,4.621848739495798,119,0.0,1.9904781579971313,7.319032579708397,147
Story9,CD,5.709999999999999,5.82,4.621848739495798,119,0.0,2.365877866744995,10.653386967835141,147
Story9,RD,5.677563025210084,5.82,4.638655462184874,119,0.0,2.489675998687744,12.057368884163235,147
